video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
Ro6eob0LrCY,17.14.11,Malika LePen : Femme de Gauche - Trailer,Le Raptor Dissident,24,2017-11-13T17:32:55.000Z,Raptor"|"Dissident"|"Expliquez"|"moi"|"cette"|"merde,212702,29282,1108,3817,https://i.ytimg.com/vi/Ro6eob0LrCY/default.jpg,FALSE,FALSE,FALSE,"Dimanche.\n18h30.\nSoyez présents pour la vidéo la plus réalistiquement haineuse du YouTube Game.\n\nStrike sous 24h garanti.\n\nMontage de NastyTanooki : https://www.youtube.com/channel/UCJvYnKvJZSIz-2deI7Xppww\n\n------------------------------------------------------------------------------------------------\n\nRAPTORCOACHING PRO : raptorcoachingpro@gmail.com\n\nSi tu pratiques la musculation et que tu es intéressé(e) par un Programme/Diète Personnalisés + Suivi, envoie nous un mail avec ton Nom/Âge/Objectif et le coach s'occupera de toi. Le training sera réalisé en fonction des objectifs aussi bien muscu prise de muscle/sèche que prépa sportive/concours.\n\nPROZIS : -10% sur tout le site http://prozis.com/lb5 avec le coupon COACHINGPRO10\n\n------------------------------------------------------------------------------------------------\n\nRejoins la dissidence jurassique sur les réseaux sociaux :\n\nFACEBOOK : https://www.facebook.com/LeRaptorDissident\n\nTWITTER : https://twitter.com/RaptorDissident\n\nSNAPCHAT : raptorvswild\n\nINSTAGRAM : raptorvsfonte\n\nTIPEE D'OR : https://www.tipeee.com/le-raptor-dissident\n\n------------------------------------------------------------------------------------------------\n\nSources :\n\nMusique : https://www.youtube.com/watch?v=7vn5BD0oadM\n\nMa Bannière et mon Avatar YouTube : LeDessinator https://www.youtube.com/channel/UCXLIl-l_zi1lCVrJHLJqJew"
Yo84eqYwP98,17.14.11,"LA PIRE PARTIE ft Le Rire Jaune, Pierre Croce, Fabien Olicard, Nad Rich' Hard, Max Bird, Studio Vrac",Le Labo,24,2017-11-12T15:00:02.000Z,[none],432721,14053,576,1161,https://i.ytimg.com/vi/Yo84eqYwP98/default.jpg,FALSE,FALSE,FALSE,"Le jeu de société: https://goo.gl/hhG1Ta\n\nGagner le jeu signé par tous les joueurs: \n\nChaîne de Studio Vrac: https://goo.gl/HVPoJs\nChaîne du Rire Jaune: https://goo.gl/JqUGNj\nChaîne de Fabien Olicard: https://goo.gl/uc6zii\nChaîne de Nad Rich' Hard: https://goo.gl/hiy2mw\nChaîne de Pierre Croce: https://goo.gl/PVijXG\nChaîne de Max Bird: https://goo.gl/A9Zc1r\nChaîne des astuces de Margaux: https://goo.gl/Pz9L1v\n\n\n------------------\n\nSi tu m'envoies un colis ou une lettre, n'oublie pas d'y laisser ton adresse pour t'ajouter à la carte des abonnés !\n\nLa carte des abonnés: https://goo.gl/438YIX\n\n\nMa liste de recherches de cartes Battle Tube : https://goo.gl/zG6Npz\nMa liste de recherches de cartes Yu-Gi-Oh : https://goo.gl/40bUBO\nMa liste de recherches de jeux GameCube : https://goo.gl/cMEAM7\n\n------------------\n\nTu veux m'envoyer un colis ?\nC'est ici:\n\nDoc Seven\nUne pièce en plus\n119 Avenue Paul Vaillant Couturier\n94250 Gentilly\n\n------------------\n\nTu veux m'envoyer une lettre ?\nC'est ici:\n\nDoc Seven\n8, rue du Fg Poissonnière\n75010 Paris\n\n------------------\n\nSi vous venez de ma chaîne principale, vous me connaissez, sinon allez faire un tour sur ma chaîne principale: \nhttps://www.youtube.com/channel/UC5Twj1Axp_-9HLsZ5o_cEQQ\n\nN'oubliez pas de vous abonner et n'hésitez pas à me suivre sur les réseaux sociaux!\n\nFacebook: https://www.facebook.com/DocSevenTV\nTwitter: https://twitter.com/DocSevenTV\nInstagram: https://www.instagram.com/docseventv/\n\n------------------\n\nCrédit(s) musique:\nArtistes récurrents:\n- KronoMuzik : https://www.youtube.com/channel/UC5C9...\n\n- Anthox : https://www.youtube.com/user/wildesyde\n\n- Efisio Cross : https://www.youtube.com/user/EfisioSymphony\n\nGraphisme de la chaîne:\nBoidin: https://www.youtube.com/user/battlefrite"
ceqntSXE-10,17.14.11,DESSINS ANIMÉS FRANÇAIS VS RUSSES 2 - Daniil le Russe,Daniil le Russe,23,2017-11-13T17:00:38.000Z,cartoon"|"pokémon"|"école"|"ours"|"мультфильм,482153,76203,477,9580,https://i.ytimg.com/vi/ceqntSXE-10/default.jpg,FALSE,FALSE,FALSE,Une nouvelle dose de dessins animés français et russes ! \nLikes et dites moi quel est votre dessin animé préféré en com !\n\nDessins animés russes : Ilia Mouromets (Илья Муромец) \nPokémon\nPeppa Pig\nTcheburachka (Чебурашка)\nWinnie Pooh (Винни Пух) \nFunky Cops\nLe policier Russe : Капитан Пронин\nInspecteur Gadget\nKarlson (Карлсон)
WuTFI5qftCE,17.14.11,PAPY GRENIER - METAL GEAR SOLID,Joueur Du Grenier,20,2017-11-12T17:00:02.000Z,Papy grenier"|"Metal Gear Solid"|"PS1"|"Tirage d'oreille"|"Humour"|"retro Gaming"|"Joueur du Grenier"|"JDG,925222,85016,550,4303,https://i.ytimg.com/vi/WuTFI5qftCE/default.jpg,FALSE,FALSE,FALSE,"Nouvel ,épisode de Papy Grenier ! Ce mois-ci on part du coté de METAL GEAR SOLID ! N'hésitez pas à partager si vous avez aimé, ca nous aide ^^ Bisous et rdv dans 1 mois !"
ee6OFs8TdEg,17.14.11,QUI SAUTERA LE PLUS HAUT ? (VÉLO SKATE ROLLER TROTTINETTE),Aurelien Fontenoy,17,2017-11-13T16:30:03.000Z,vélo"|"vtt"|"bmx"|"freestyle"|"bike"|"mtb"|"dirt"|"trottinette"|"scoot"|"scooter"|"skate"|"roller"|"trampoline"|"trampoline parc"|"trampoline park"|"big air"|"air bag"|"mousse"|"bac à mousse"|"saut"|"tricks"|"défi"|"challenge"|"saut en hauteur,141695,8091,72,481,https://i.ytimg.com/vi/ee6OFs8TdEg/default.jpg,FALSE,FALSE,FALSE,"Sauts à plus de 4 mètres de haut dans un trampoline park / air bag. Qui sautera le plus haut entre un Vtt, un skate, un roller ou une trottinette ?  Qui jouera le mieux au basket ? ou qui ferra les plus belles figures en touchant un drone ?\n-------------------------------------------------------------\nAbonne-toi à ma chaine pour plus de défis avec mon vélo : http://urlz.fr/5v1l\nFacebook: http://urlz.fr/51gN\nInstagram: http://urlz.fr/51gO\nTwitter: http://urlz.fr/5LQN\nSnap: Aurelfontenoy\nWeb: www.bombershow.com (Mes démonstrations VTT Trial / Freestyle)\n-----------------------------------\nBONS PLANS:\n-10 % sur tout le matos, vélos trial ... chez www.SeriousConnection.com -- CODE: SERIOUSAUREL\n-10% sur tous les compléments Alimentaires chez www.impactnutritionshop.com -- CODE: AUREL_HVD\n------------------------------------\nBAM FREESPORTS (Trampoline Park à Grenoble)\n Site Internet: www.bam-freesports.com\nFacebook:  http://urlz.fr/5tQD\n------------------------------\nLes Athlètes :\n*Franck Paulin (VTT Freestyle)\nYoutube: http://urlz.fr/5T8a\nInstagram: http://urlz.fr/5tQB\n*Maxime Cadoux (Skate / Wakeboard)\nInstagram: http://urlz.fr/66Wk\nYoutube: http://urlz.fr/66VS\n*Nico Dao (Roller)\nInstagram: http://urlz.fr/67nu\n-----------------------------------\nCaméraman: Art'Home production (http://urlz.fr/5ce5)\nEdit : BOMBER SHOW - www.bombershow.com"
teXaL6GdQRk,17.14.11,STRANGER JOKES : Jokes de Papa avec les teens de Stranger Things,"Le Jeu, C'est Sérieux",23,2017-11-13T15:48:57.000Z,Stranger Jokes"|"Jokes de Papa"|"Stranger Things"|"Charlie Heaton"|"Natalia Dyer"|"Joe Keery"|"Drôle"|"Humour"|"Blagues nulles"|"Dad Jokes"|"Netflix"|"Demogorgon"|"Onze"|"Eleven"|"Will"|"Joyce"|"Jonathan"|"Nancy"|"Steve"|"Paris Games Week"|"Try Not To Laugh"|"Try Not To Cringe"|"Essaye de ne pas rire"|"JeuSerieux"|"France"|"Québec,141253,14354,202,417,https://i.ytimg.com/vi/teXaL6GdQRk/default.jpg,FALSE,FALSE,FALSE,"Contenu commandité par Netflix France.\nInspiré de Dads Jokes (All Def Digital) et Jokes de Papa (GaboomFilms).\n\nChose étrange pour Guiz et Laurent d'affronter les teens de Stranger Things – Charlie Heaton, Natalia Dyer et Joe Keery – dans un Jokes de Papa en marge de la Paris Games Week. Quelle équipe craquera sous la pression face à des blagues aussi nulles?\n\nSaison 2 de Stranger Things :\n▶ https://youtube.com/watch?v=JSQToYeeR4E\n\nDad Jokes de All Def Digital :\n▶ https://youtube.com/AllDefDigital\n\nJokes de Papa de GaboomFilms :\n▶ https://youtube.com/playlist?list=PLKVHXumEUNS53qA3_GkAlR9eMsHkMfsek\n\nNOTRE BOUTIQUE : http://society6.com/jeuserieux\nFACEBOOK : http://facebook.com/jeuserieux\nABONNEZ-VOUS : http://bit.ly/jeuserieux"
nduL7G_gJoY,17.14.11,De retour dans le Manoir hanté avec le Grand JD !!,silent jill,24,2017-11-12T19:00:08.000Z,fantome"|"esprits"|"spiritisme"|"hanté"|"ouija"|"maison"|"urbex"|"abandonné"|"hurlement"|"cris"|"pleurs"|"sinistre"|"horreur"|"thriller"|"grandjd"|"grand"|"jd"|"exploration"|"manoir"|"halloween,187654,9286,1381,2419,https://i.ytimg.com/vi/nduL7G_gJoY/default.jpg,FALSE,FALSE,FALSE,"Bonsoir à tous, \nJe tenais beaucoup à retourner dans le manoir que j'avais visité avec Maria Del Rio. \nQuelques personnes étaient sceptiques et pensaient qu'il s'agissait d'un fake ou bien d'une mauvaise blague. \nJ'ai donc demandé à celui qui m'a donné l'envie de faire ma chaîne de m'accompagner dans cette nouvelle enquête . \nLE seul et l'unique ... LE Grand JD. \nTout le monde sait qu'il ne fake pas ces vidéos, ce qui du coup allait apporter beaucoup de crédibilité à ce nouvel épisode. \nVous allez le voir, nous avons de nouveau eu des évènements absolument terrifiants. \n\nNous tenons à vous assurer que nous ne truquons pas nos épisodes. \nNos réactions sont sincères et rien n'est exagéré. \nCeci n'est pas une fiction, sauf bien sûr notre petite intro ;) \nMerci à tous d'être de plus en plus nombreux à nous suivre dans nos aventures !!! \n\nMerci à Christopher Badics pour son travail absolument extraordinaire, James Wan n'a qu'à bien se tenir ;) \n\nJe vous embrasse et vous dis merci d'être là !! \n\nJill"
QmpWE_SODZA,17.14.11,"T'es qui toi ? Squeezie, le youtubeur aux 4 milliards de vues - Salut les Terriens",Salut les terriens !,24,2017-11-13T17:30:01.000Z,salut les terriens"|"squeezie"|"jeux videos"|"interview"|"ardisson"|"baffie"|"cordula"|"c8,91051,1674,1903,701,https://i.ytimg.com/vi/QmpWE_SODZA/default.jpg,FALSE,FALSE,FALSE,"Dans Salut Les Terriens, Thierry Ardisson, reçoit Squeezie, le youtubeur au 4 milliard de vues. Extrait de l'émission du 11/11/2017.\n\nSalut Les Terriens sur les réseaux sociaux :\n\n- Facebook : https://www.facebook.com/salutlesterriens\n- Twitter : https://twitter.com/lesterriens\n- Instagram : https://www.instagram.com/salutlesterriens"
GBVxEpQr8R8,17.14.11,ON VOUS DÉVOILE NOTRE VRAI SALAIRE,Mcfly & Carlito,24,2017-11-12T08:59:25.000Z,mcfly"|"carlito"|"golden moustache"|"fatshow"|"badass"|"dab"|"j'effectue le dab"|"on appelle des gens au hasard"|"le meilleur jeu en voiture"|"mcfly et carlito"|"mcfly & carlito"|"concours d'anecdotes,2340941,200598,6018,7575,https://i.ytimg.com/vi/GBVxEpQr8R8/default.jpg,FALSE,FALSE,FALSE,"Nouvelle vidéo tous les dimanches matins 10h. \nSouscrivez à un abonnement, on va se marrer.\n\nBravo Laink et Terra pour le million !!!\n\nINSTAGRAM\n★ https://www.instagram.com/rafcarlito\n★ https://www.instagram.com/levraimcfly\n\nFACEBOOK \n►https://facebook.com/raphaelcarlierakacarlito\n►https://www.facebook.com/mcflyofficiel\n\nTWITTER \n✔ https://twitter.com/levraimcfly\n✔ https://twitter.com/raphael_carlier\n\nSnap : tontonmcfly\n\nRetrouvez tous les superbes éléments de déco présents dans notre studio ici :\nhttp://bit.ly/MobilierIndusMcFlyEtCarlito\n\nBravo à Aurélien pour sa performance d'acteur digne de Wesley Snipes.\n\nAudrey, t'es la best. Genre vraiment. Et c'est trop bien quand tu imites le chat qui vomit.\n\nNyo : nous n'avons jamais été autant comblé par un homme.\n\nEt Lucas magistral en ouvrier du bâtiment.\n\nMot de Carlito.: pour ceux qui ont kiffé Sonic sur la box,  découvrez l'offre pass jeux famille orange, seulement 10 euros par mois par abonnement pour 200 jeux :\n\nhttp://www.passjeuxfamille.orange.fr/\n\nSully et Élise, on vous aime autant que vous vous aimez."
0RFhWyM6qbA,17.14.11,Benzema balance ses dur vérités Deschamps et Les bleus Dans le CFC !,HALIRIPA,22,2017-11-12T20:16:45.000Z,Karim benzema football"|"Benzema vs cristiano ronaldo skills football"|"Benzema vs Messi club football,635236,5945,722,1483,https://i.ytimg.com/vi/0RFhWyM6qbA/default.jpg,FALSE,FALSE,FALSE,Abonnez-vous et partagez au max la famille
